Date	Speaker	Affiliation	Title	Abstract
"""2016-10-03"""	"""Josh Callaway """	"""CEO/Co-founder/Data Scientist, PendulumRock Analytics, LLC"""	""" The Next Generation of Data Analysis"""	"""According to Moore's Law, the number of transistors on a microchip doubles nearly every 2 years.  As we are now approaching this theoretical limit, Ray Kurzweil points out that technological performance will enter a new paradigm of quantum computing, neuromorphic chips, and 3-D stacking.  We can well extrapolate a similar paradigm shift in many other realms of information technology.  Apps are replacing the middle man and rendering life cheaper in nearly any service imaginable from the hotel industry to hailing a taxi or ordering food.  It appears very likely, as well, that apps will make their way into medical diagnosis and rental services for autonomous self-driving cars.  The boon of this app awakening manifests in the acceleration of declining costs and easy accessibility.  In developing countries, such technology is providing business opportunity where it was previously too expensive.  And, this is not limited to consumer services.  The proliferation of Big Data and high-performance computing has broken barriers in statistics.  Ten years ago, an analytical model that today takes 10 minutes to compute might have taken 10 days.  Furthermore, this is not merely limited to high-cost licensed commercial software.  Breakthroughs have been realized that allow smaller institutions and individuals to spread the work of programming across multiple processes.  Additionally, cheap production of statistical applications is now plausible through open-source platforms.  Therefore, we may be witnessing an analytical singularity in which nearly-instantaneous output can be produced from low-cost input.  Already underway, this is providing a mainspring in technical startups and will fuel a similar paradigm shift in statistics and analytics"""
"""2017-03-27"""	"""Dr. Fridtjof Thomas """	"""Preventive Medicine, UTHSC"""	""" P-values: Too Big To Fail?"""	"""This seminar outlines what we like about p-values and in which situations they are inherently meaningful.  The participant will then get an understanding why their use is somewhat less straight forward in situations arising in observational studies and when very many hypotheses are tested (multiplicity of testing problem).  Details are given why p-values cannot serve as measures of support for a specific hypothesis and why they do not measure ""strength of scientific evidence"" in a general sense.  The American Statistical Association has recently issued recommendations on P-values and reporting of statistical analyses and the Journal of Basic and Applied Social Psychology has banned P values altogether from its research articles.  Are P values still around because they are inherently beneficial or have they simply become so prolific that they are ""too big to fail""?"""
"""2017-07-17"""	"""Dr. Rishi Kamaleswaran """	"""Department of Pediatrics, UTHSC """	"""Continuous Big Data and Analytics at the Point of Care"""	"""Critically ill patients are admitted to the intensive care unit (ICU) for complex, time sensitive, and dynamic care. While traditional patient monitors in the ICU have been used to generate large volumes of continuous physiological data from sensors attached the patient, analytics applied to those systems have largely been univariate and limited. Use of big data approaches, such as continuous and longitudinal event stream analytics through open source software such as Apache Spark allows us to analyze multiple channels of physiological data for prediction of potentially devastating conditions prior to their clinical manifestation. The use of novel discretization and machine learning methods allow us to identify salient 'physiomarkers', such as reduced heart rate variability or arrhythmias. This presentation will highlight recent work and new directions we are progressing at the Pediatric Intensive Care Unit at Le Bonheur Children's Hospital."""
"""2017-07-24"""	"""Dr. Demba Fofana """	"""University of Texas Rio Grande Valley """	"""Gene Expression and Network Analysis"""	"""Analyzing gene expression data rigorously requires taking assumptions into consideration but also relies on using information about network relations that exist among genes. Combining these different elements cannot only improve statistical power, but also provide a better framework through which gene expression can be properly analyzed. We propose a novel statistical model that combines assumptions and gene network information into the analysis. Assumptions are important since every test statistic is valid only when required assumptions hold. We incorporate gene network information into the analysis because neighboring genes share biological functions. This correlation factor is taken into account via similar prior probabilities for neighboring genes. With a series of simulations, our approach is compared with other approaches. Our method that combines assumptions and network information into the analysis is shown to be more powerful."""
"""2017-08-14"""	"""Dr. Ibrahim Abdelrazeq """	"""Rhodes College """	"""Levy Driven CARMA(2,1) vs Realized Volatility"""	"""The Levy driven CARMA(2,1) process is a popular one with which to model stochastic volatility. However, there has been little development in statistical tools to verify this model assumption and assess the goodness-of-fit of real world data (Realized Volatility). When a L?vy driven CARMA(2,1) is observed at high frequencies, the unobserved driving process can be approximated from the observed process. Since, under general conditions, the L?vy driven CARMA(2,1) can be written as a sum of two dependent L\'evy driven CAR(1) process, the methods developed in Abdelrazeq, Ivanoff, and Kulik (2014) can be employed in order to use the approximated increments of the driving process to test the assumption that the process is L?vy-driven. The performance of the test is illustrated through simulation and real world data."""
"""2017-08-22"""	"""Dr. Laura Saba """	"""University of Colorado at Denver """	"""Animal models and statistical strategies for describing the transcriptional connectome and its role in complex traits"""	"""Rarely are the exact same genes associated with a complex phenotype in different populations, e.g., different recombinant inbred rodent panels, different human populations, or different species. In most cases, it is the biological pathway that is important in the etiology of disease rather than an individual gene. In our first analysis, information across several rat populations is combined to identify a set of co-expressed genes in brain that predispose to alcohol-related traits using weighted gene co-expression network analysis (WGCNA) and quantitative trait loci. At the heart of this co-expression module is an unannotated transcript that is likely to be a non-coding transcript. When this unannotated transcript is genetically manipulated, not only does the phenotype of interest, alcohol consumption, change but also the transcription levels of many other genes are also altered. This statistical model provides insight about relevant biological processes but may not give detail about the directed pathway from genotype to disease necessary to identify potential therapeutic targets. In an additional study, we performed a similar WGCNA analysis of liver RNA expression levels and associated modules and genetic variants with alcohol metabolism-related phenotypes. In this study, we identified a module that contains multiple isoforms of alcohol dehydrogenase, which is known to have a major role in the metabolism of alcohol to acetaldehyde. Using this co-expression module, we also explored the application of Bayesian networks to further hypothesize about the direction of relationships between transcripts using Mendelian randomization. This model further distinguished transcripts."""
"""2017-08-28"""	"""Dr. Gregory Farage """	"""Preventive Medicine, UTHSC """	"""Feature Detection in PolSAR Images using the wavelet transform"""	"""After a brief introduction to Geographical Information System (GIS) and Remote Sensing, I will present some of their applications with a focus on polarimetric radar data. I will present two main approaches for classification of remote sensing data. Next I will present a filtering technique that we developed based on wavelet multiresolution analysis as a feature detection approach for PolSAR data. Finally, I will open a discussion on the similarities between genomic data and remote sensing data."""
"""2017-09-18"""	"""Dr. Fridtjof Thomas """	"""Preventive Medicine, UTHSC """	"""Predictive Modeling: Can't See the Forest for the Trees?"""	"""Predictive modeling is a very active research area constantly adding new approaches as well as refining existing ones.  This seminar provides an overview of the approaches referred to as Random Forests, Elastic Nets, Support Vector Machines (SVM), K-Nearest Neighbors (KNN), and Neural Nets.  R-code and packages implementing these approaches are presented."""
"""2017-10-23"""	"""Dr. Saunak Sen """	"""Preventive Medicine, UTHSC """	"""Statistical learning methods and the bias-variance tradeoff"""	"""The bias-variance tradeoff is a fundamental concept underlying statistical modeling or learning methods. As we increase the complexity of our models, we usually decrease the bias in its prediction. However, increasing model complexity also tends to make the predictions more variable or unstable. In this expository talk, we will examine how the bias-variance tradeoff is exhibited in the context of some common statistical learning methods such as k-nearest neighbors, multiple linear regression, gradient boosting machines, and regularized regression. We will examine their performance in the context of predicting plant fitness using genomewide genotype data."""
"""2017-11-13"""	"""Dr. Mina Sartipi """	"""The University of Tennessee at Chatanooga """	"""mStroke: Mobile Technology for Post-Stroke Recurrence Prevention and Recovery"""	"""In this talk, I will present mStroke, a real-time quantitative assessment of stroke rehabilitation using wearable Sensors. The goal of mStroke is to explore mobile technology to improve stroke recovery and prevent stroke recurrence. I will focus on mStroke current clinical functions/applications such as the functional reach test (FRT), NIH Stroke Scale (NIHSS) motor arm/motor leg tests, gait speed, activity recognition, and fall detection. mStroke has been tested on more than 200 students emulating individuals post-stroke and also 40 patients post-stroke. I will conclude my talk with discussing our vision for mStroke next steps. We want to study post-stroke management system through multi-modal big data analytics applied on joint real-time (from mStroke and other physiological sensors) and EMR data."""
"""2018-01-29"""	"""Dr. Chris Gignoux """	"""Un. of Colorado """	"""The role of human genetic diversity in the architecture of traits: lessons from PAGE"""	"""As we enter the second decade of genome-wide association studies, there remains a persistent bias towards focusing on populations of European descent. This has numerous drawbacks, both limiting new discoveries and impairing our translation of findings into precision medicine for people across the world. To counteract this, the Population Architecture using Genomics and Epidemiology (PAGE) Study was developed, currently leveraging genome-wide data from 52,000 individuals representing four multi-ethnic longitudinal cohorts. This large-scale work in diverse populations presents several computational challenges. I will present on our efforts to design new arrays that capture variation in diverse populations. Furthermore, I will demonstrate the use of both statistical and population genetics methods to uncover new insights in complex traits and the role of population structure in elucidating genetic architecture. I will conclude with some of our work on Mendelian genetic disease in the context of human genetic diversity and its implications for modern health systems and biobanks."""
"""2018-02-12"""	"""Dr. Saunak Sen """	"""Preventive Medicine, UTHSC """	""" Three algorithms for statistical computing: the MM, EM, and proximal gradient algorithms"""	"""Many problems in statistical estimation and machine learning boil down to optimization of a criterion such as the log likelihood, the residual sum of squares, or a penalized version.  Commonly used algorithms include iteratively reweighted least squares (IWLS) and Newton-Raphson methods.  If the objective function depends on a large number of parameters, is not smooth, or is difficult to compute, other methods are needed.  In statistics the EM algorithm is a common choice; in machine learning proximal gradient algorithms are useful. It turns out that both are special cases of the MM (minorization-maximization) algorithm.  This method is guaranteed to improve the objective function in each iteration under general conditions.  We will provide an overview of the three algorithms, and examine their use in penalized regression models."""
"""2018-03-12"""	"""Dr. Hyeonju Kim """	"""Preventive Medicine, UTHSC """	""" Efficient algorithms for detecting GxE in Multivariate Linear Model"""	"""We develop a multivariate linear mixed model for detecting gene-environment interactions when there are many environments, and we have information annotating the environments.  Our prototype example datasets are on segregating plant populations grown in multiple sites in multiple years.  We will have information on the weather in each year as well as site-specific information such as latitude.  The goal is to find QTLs that depend on latitude accounting for weather patterns that vary by year.  We formulate a linear mixed model where traits can be correlated due to genomewide similarities (genetic kinship) and due to weather similarities (""climate kinship"") between environments.  We implement an efficient algorithm that uses an Expectation Conditional Maximization (ECM) algorithm in conjunction with an acceleration step.  Its simulation study will be presented."""
"""2018-03-26"""	"""Dr. Chi-Yang Chiu """	"""Preventive Medicine, UTHSC """	""" An additive hazards model for gene level association analysis of survival traits of complex disorders"""	"""Based on counting processes and Doob-Meyer decomposition of submartingales and functional regression models, we propose an additive hazards model for gene level association analysis of survival traits of complex disorders. The additive hazards model overcomes proportional hazards assumptions of Cox models and is more flexible to model association with time/age. Association between genetic markers and eye disease will be investigated."""
"""2018-04-09"""	"""Luhang Han """	"""Statistics, University of Memphis """	"""Identifying stable and dynamic CpG sites pre- and post-adolescence transition via a longitudinal genome-scale study"""	"""There is some evidence that DNA methylation (DNA-M) over time is stable at certain cytosine-phosphate-guanine (CpG) sites and varies at others (dynamic methylation). Adolescence transition (puberty) is considered associated with DNA-M change and this change is gender specific. In adolescence, a gender reversal of asthma prevalence occurs, from male predominance of asthma prevalence in young childhood to female predominance after adolescence. Given that DNA methylation may play a central role in susceptibility to asthma, assessing the stability of DNA-M provides a potential to understand the mechanisms of asthma transition during adolescence. The aim of this study was to identify dynamic and stable DNA-M at the genome scale and assess their gender-specificity. Data from children at 10 and 18 years old from the Isle of Wight birth(IOW) cohort in the United Kingdom were included. Epigenome-scale DNA-M was assessed using Illumina 450K and 850k EPIC platforms. Linear mixed models with repeated measures were implemented in our analysis. We identified 15,532 CpG sites were dynamic during adolescence transition in both genders, the level of DNA-M at 1,179 CpG sites is not stable during adolescence transition and this change is gender specific. The findings were further tested in an independent study, the Avon Longitudinal Study of Children and Parents (ALSPAC) study, as expected, the results showed an agreement with the findings from IOW cohort."""
"""2018-10-22"""	"""Dr. Zheng Xu """	"""Statistics, University of Nebraska-Lincoln """	""" Association Testing Based On Sequencing Data With Arbitrary Depth"""	"""Association studies have been widely conducted to explain the relationship between phenotypes and genetic variants. Researchers have been developed association testing methods for a single marker or a group of markers based on genotypes. The phenotypes, either continuous or binary traits, are studied in the regression framework with genotypes as explanatory variables. Some factors such as genotype calling uncertainty and sequencing depth may influence the performance of these genotype-based testing methods. We propose association testing methods directly based on next-generation sequencing data without genotype calling. The methods have been applied to the testing for a single marker or a group of markers with applications to rare variants."""
"""2019-02-21"""	"""Dr. Mehmet Kocak """	"""Preventive Medicine, UTHSC """	"""Statistical Modeling for Growth Curves"""	"""In pediatric clinical trials and cohort studies, actual height and weight of children at a specific age may be required for certain developmental assessments such as energy expenditure. This necessitates the choice of a growth model with desired characteristics to predict height and weight accurately. In this talk, we introduce and compare two commonly used growth curve models, namely, Logistic and Gompertz models, with respect to the distribution of their residuals as well as the logistical challenges in model convergence using the US and Turkish Growth Curve Standards for the first 3 years of life."""
"""2019-03-18"""	"""Dr. Natasha Sahr """	"""Biostat, St. Jude """	"""Multi-level variable screening and selection for survival data"""	"""Variable selection methods for the marginal proportional hazards model is a relatively understudied research area in biostatistics. The limited available methods focus on the selection of non-zero individual variables for a single outcome. However, variable selection in the presence of grouped covariates is often required. Some methods are available for the selection of non-zero group and within-group variables for the Cox proportional hazards model. There are no available methods to perform group variable selection in the clustered multivariate survival setting. In this context, the hierarchical adaptive group bridge penalty is proposed to select non-zero group and within-group variables for the independent or clustered marginal multivariate proportional hazards model. Simulation studies show the hierarchical adaptive group bridge method has superior performance compared to the extension of the adaptive group bridge in terms of variable selection accuracy. Sometimes, survival data suffers from high-dimensional group variables. Most existing screening methods address the sure screening property for individual variable selection. The sure group joint variable screening method is proposed to screen independent and clustered multivariate survival data in the presence of group variables. Simulation studies show the sure group joint variable screening method performs better than existing screening procedures extended to the multivariate survival setting. The hierarchical adaptive group bridge and sure group joint variable screening methods can be effective tools, used in a two-step process, in identifying non-zero group and within-group variables for high-dimensional multivariate survival data."""
"""2019-04-08"""	"""Dr. Bernie J. Daigle, Jr. """	"""Biological Sciences and Computer Science, U of Memphis """	"""Maximum Likelihood Parameter Estimation and Model Identification from Single-Cell Distribution Data"""	"""Recent advances in single-cell experimental techniques have provided unprecedented access to the mechanisms underlying fundamental cellular processes. In particular, techniques assaying populations of single cells, including single-cell RNA sequencing (scRNA-seq), have highlighted the importance of cellular noise-stochastic fluctuations within and heterogeneity between genetically identical cells. Despite growing availability of such single-cell distribution data, limitations in computational methods for parameter estimation and model identification remain a bottleneck for developing accurate mechanistic descriptions of cellular processes. Existing methods typically make simplifying assumptions about the underlying biochemical model, impose limits on model size/complexity, or require prior knowledge of model parameter values. I will present a novel maximum likelihood-based method for parameter estimation and model identification-distribution Monte Carlo Expectation-Maximization with Modified Cross-Entropy Method (dMCEM2)-that does not have these limitations. Building upon a method developed for single-cell time series data, dMCEM2 enables automated, computationally efficient inference and identification of stochastic biochemical models from single-cell distribution data. Using both synthetic and real-world scRNA-seq data, I will demonstrate the ability of dMCEM2 to accurately construct mechanistic models of gene expression."""
"""2019-04-15"""	"""Dr. Hongmei Zhang """	"""Biostat, U of Memphis """	"""Bayesian network selection with ordered data"""	"""We propose an approach for constructing Bayesian networks for data with unknown order and determining whether networks constructed under different conditions are statistically identical. A Bayesian method is developed for this purpose. A penalty-incorporated conditional posterior probability mass function, motivated by conditional posterior distributions under non-informative priors, is implemented to make a selection between identical networks and differential networks. Theoretical assessment, simulations, and real data applications indicate the efficacy and efficiency of the proposed method."""
"""2019-04-29"""	"""Dr. Yimei Li """	"""Biostat, St. Jude """	"""Genome-wide Association Analysis on Functional Imaging Data"""	"""Imaging genetics allows for the identification of how common/rare genetic polymorphisms influencing molecular processes (e.g., serotonin signaling), bias neural pathways (e.g., amygdala reactivity), mediating individual differences in complex behavioral processes (e.g., trait anxiety) related to disease risk in response to environmental adversity. The challenges include: how to integrate imaging data with genetic information, how to develop more advanced statistical method to analyze those type of data and how to produce reproducible analysis. Functional phenotypes (e.g., subcortical surface representation), which commonly arise in imaging genetic studies, have been used to detect putative genes for complexly inherited neuropsychiatric and neurodegenerative disorders. However, existing statistical methods largely ignore the functional features (e.g., functional smoothness and correlation). I will focus on introduction of some published methods on analyzing functional medical imaging data with genetics information such as functional structure equation models for twin imaging data, functional mixed effects models for candidate genetic mapping, functional genome wide association analysis and their application in real data analysis."""
"""2019-05-13"""	"""Dr. Lih-Yuan Deng """	"""Statistics, University of Memphis """	"""Survey of Current Random Number Generators used in R and Comparison with DX Generators"""	"""In this talk, we review and compare these PRNGs available in RNGkind and compare them with our proposed DX(Deng-Xu) generator, a fast and efficient, huge period multiple recursive generator (MRG) with equi-distribution in thousands of dimensions. Comparing with these generators, DX generators are fastest with longest period length. Furthermore, we show that DX generators consistently pass all the empirical tests while most of the PRNGs used in base R are not able to pass all these tests, including the default generator MT19937."""
"""2019-08-12"""	"""Dr. Qian (Michelle) Zhou """	"""Statistics, Mississipi State U. """	"""Risk prediction with Cohort Studies"""	"""Accurate risk prediction is a key component of precision medicine. In this talk, I will present several research projects regarding the risk prediction I have worked on. I will introduce a novel thresh-hold free metric to evaluate the overall precision of a risk model. I will talk about how to identify subgroups for which the new markers are most/least useful in improving risk prediction. In large cohort studies, it is often not feasible to measure expensive biomarkers on the full cohort, and efficient sampling designs, such as nested case-control (NCC), are employed. I will illustrate how to accurately evaluate the incremental values of the new markers under a three-phase NCC design. I will also present a flexible varying coefficient model for estimating the age-specific absolute risk with the marker effects varying with the age."""
"""2019-09-16"""	"""Dr. Hyo Young Choi """	"""Computational Biology, UTHSC """	"""SCISSOR: a novel framework for identifying changes in RNA transcript structures"""	"""High-throughput sequencing protocols such as RNA-seq have made it possible to interrogate the sequence, structure and abundance of RNA transcripts at higher resolution than previous microarray and other molecular techniques. While many computational tools have been proposed for identifying mRNA variation through differential splicing/alternative exon usage, the promise of RNA-seq remains largely unrealized. In this talk, we propose a novel framework for unbiased and robust discovery of aberrant RNA transcript structures using short read sequencing data based on shape changes in an RNA-seq coverage profile. Shape changes in selecting sample outliers in RNA-seq (SCISSOR), is a series of procedures for transforming and normalizing base level RNA sequencing coverage data in a transcript independent manner, followed by a statistical framework for its analysis. The resulting high dimensional object is amenable to unsupervised screening of structural alterations across RNA-seq cohorts with nearly no assumption on the forms of underlying abnormalities. This enables to independently recapture known variants (such as splice site mutations in tumor suppressor genes) as well as novel variants that are previously unrecognized or difficult to identify by any existing methods including recurrent alternate start sites and recurrent complex deletions in 3? UTRs."""
"""2019-11-11"""	"""Dr. Yujiao Mai """	"""Biostat, St. Jude """	"""Classic Mediation Analysis for Complex Surveys with Balanced Repeated Replications"""	"""Mediation analysis is to investigate the role of a third variable as a transmitter in the relationship between the exposure and the outcome. The third variable is called the mediator. Although there have been established methodology and computer tools for classic mediation analysis which is within structural equation modeling (SEM) framework, applications to survey data of complex sampling designs have not been addressed. As complex sampling designs using balanced repeated replications are common in national surveys, this study introduces a classic mediation analysis algorithm adjusting for complex surveys with balanced repeated replications and develops the software packages in R and SAS. The study then illustrates the application of the algorithm and packages to Tobacco Use Supplement to the Current Population Survey. In the end of the talk, we will discuss the limitations of this study and future development."""
"""2019-11-18"""	"""Dr. Sedigheh Mirzaei Salehabadi """	"""Biostat, St. Jude """	"""Estimation of time-to-event distribution based on partially recalled data"""	"""In some retrospective studies, participants are asked to recall the time of occurrence of a landmark event, if experienced. Some respondents who had experienced the event are able to recall the date exactly, some recall only the month or year of the event, and some are unable to recall it. This interval censored data bears evidence of being informatively censored, for which we build a special model for estimating the time-to-event distribution. We provide a set of regularity conditions on the distribution, subject to which the consistency and the asymptotic normality of the parametric maximum likelihood estimator are established. We also provide a computationally simple approximation to the nonparametric maximum likelihood estimator and establish its consistency under mild conditions. The small sample performance of the two estimators through Monte Carlo simulations are studied. Moreover, we provide a graphical check of the assumption of the multinomial model for the recall probabilities, which appears to hold for a menarcheal data set. Its analysis shows that the use of the partially recalled part of the data indeed leads to smaller confidence intervals of the survival function."""
"""2020-02-24"""	"""Dr. Dong Wang """	"""National Center for Toxicological Research/FDA  """	"""New technology and statistical issues  for toxicity testing, from in vitro assays to postmarket surveillance"""	"""The emergence of high throughput in vitro assays has the potential to significantly improve toxicological evaluations and lead to more efficient, accurate, and less animal-intensive testing. However, effectively utilizing data from in vitro assays in a predictive model is still a challenging problem. One major difficulty is caused by the small sample size of the training data set in most toxicology problems. Thus, how to utilize data most efficiently takes a premium in predictive modeling of toxicity, and it requires some creative techniques not commonly used in settings with copious amount of data. In this presentation, several examples on how to perform statistical modeling and machine learning in toxicity testing within the constraints of small sample sizes will be discussed. In the first example, a robust learning method was applied to the prediction of the point of departure so that a small portion of outlier chemicals will not harm the overall performance of the model. In the second example, adverse outcome pathway networks were utilized to filter potential predictors from in vitro assays to construct a more parsimonious model with improved performance. Finally, we will discuss how to use postmarket surveillance databases to provide independent validation for predictive models based on in vitro assays."""
"""2020-03-09"""	"""Dr. Yunxi Zhang """	"""University of Mississippi Medical Center """	"""Variable Selection and Imputation for High-Dimensional Incomplete Data"""	"""Missing data are an inevitable problem in data with a large number of variables. The presence of missing data obstructs the implementation of the existing variable selection methods. This is especially an issue when there is a limited number of observations. Applicable and efficient selection with imputation method is necessary to obtain valid results. In this talk, I will propose an approach to efficiently select important variables from high dimensional data in the presence of missing data. We employ the shrinkage prior and multiple imputation for variable selection in the high-dimensional setting with missing values. Simulation study and analysis results will be presented and compared with other possible approaches."""
